scenario,oswald_e,margin,clmax_wing,mass,vs_km_h
nominal,0.85,1.0,1.1261985324121986,2200_g,33.555398710223706
nominal,0.85,1.0,1.1261985324121986,2400_g,35.04747091280753
nominal,0.85,1.0,1.1261985324121986,2600_g,36.47856428323486
nominal,0.85,1.0,1.1261985324121986,2800_g,37.855595186816245
conservative,0.75,0.9,0.9809941886968294,2200_g,35.953126659283754
conservative,0.75,0.9,0.9809941886968294,2400_g,37.55181607875855
conservative,0.75,0.9,0.9809941886968294,2600_g,39.085169374678664
conservative,0.75,0.9,0.9809941886968294,2800_g,40.56059712678954
