alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.2444,0.01502,0.00616,-0.0918,0.9263,0.0414,forward
-5.75,-0.2184,0.01437,0.00553,-0.0913,0.9191,0.042,forward
-5.5,-0.1905,0.01385,0.00496,-0.0912,0.9134,0.0428,forward
-5.25,-0.1661,0.0132,0.00447,-0.0905,0.9049,0.0435,forward
-5.0,-0.1399,0.01264,0.00406,-0.09,0.8979,0.0442,forward
-4.75,-0.1137,0.0122,0.0037,-0.0896,0.8905,0.0451,forward
-4.5,-0.0878,0.01181,0.00336,-0.0891,0.8821,0.046,forward
-4.25,-0.0608,0.01146,0.00302,-0.0887,0.8748,0.047,forward
-4.0,-0.0354,0.01105,0.00273,-0.0882,0.865,0.0482,forward
-3.75,-0.0086,0.01074,0.00247,-0.0878,0.8564,0.0499,forward
-3.5,0.0176,0.01049,0.00226,-0.0873,0.8462,0.0518,forward
-3.0,0.0713,0.00999,0.00187,-0.0866,0.8286,0.057,forward
-2.75,0.0984,0.00977,0.00168,-0.0863,0.8196,0.0618,forward
-2.5,0.1249,0.00952,0.00156,-0.0859,0.8094,0.0725,forward
-2.25,0.1515,0.00921,0.00139,-0.0856,0.8006,0.1045,forward
-2.0,0.1776,0.0089,0.0013,-0.0853,0.7904,0.149,forward
-1.75,0.2039,0.00865,0.00122,-0.085,0.781,0.2063,forward
-1.5,0.2303,0.00843,0.0012,-0.0847,0.7705,0.2608,forward
-1.25,0.2569,0.00826,0.00115,-0.0844,0.7616,0.3135,forward
-1.0,0.2829,0.00799,0.00113,-0.0841,0.7518,0.3801,forward
-0.75,0.3081,0.00769,0.00109,-0.0836,0.7432,0.4799,forward
-0.5,0.3308,0.00718,0.00112,-0.0826,0.7337,0.6348,forward
-0.25,0.3515,0.00677,0.00117,-0.0807,0.7249,0.7877,forward
0.0,0.3765,0.00658,0.00129,-0.0794,0.7153,0.9046,forward
0.5,0.4628,0.00673,0.00135,-0.0853,0.694,0.9859,forward
0.75,0.5176,0.00679,0.00133,-0.091,0.683,0.9995,forward
1.0,0.544,0.00684,0.0013,-0.0908,0.6717,1.0,forward
1.25,0.569,0.00691,0.00127,-0.0901,0.6606,1.0,forward
1.5,0.5937,0.007,0.00124,-0.0895,0.6489,1.0,forward
1.75,0.6186,0.00707,0.00123,-0.0888,0.6362,1.0,forward
2.0,0.6431,0.00717,0.00121,-0.0881,0.623,1.0,forward
2.25,0.6673,0.0073,0.0012,-0.0873,0.6088,1.0,forward
2.5,0.6915,0.00741,0.0012,-0.0865,0.5937,1.0,forward
2.75,0.7157,0.00754,0.00121,-0.0857,0.5783,1.0,forward
3.0,0.7395,0.00769,0.00122,-0.0848,0.5618,1.0,forward
3.25,0.763,0.00786,0.00124,-0.0839,0.5433,1.0,forward
3.5,0.7862,0.00806,0.00126,-0.0829,0.5229,1.0,forward
3.75,0.8092,0.00828,0.0013,-0.0819,0.5009,1.0,forward
4.0,0.8317,0.00855,0.00135,-0.0809,0.4757,1.0,forward
4.25,0.854,0.00885,0.00141,-0.0798,0.4459,1.0,forward
4.5,0.8759,0.00919,0.00149,-0.0787,0.4179,1.0,forward
4.75,0.8987,0.00951,0.00158,-0.0778,0.3947,1.0,forward
5.0,0.9218,0.00982,0.00169,-0.077,0.3768,1.0,forward
5.25,0.9451,0.01013,0.00179,-0.0762,0.3628,1.0,forward
5.5,0.9692,0.0104,0.0019,-0.0755,0.3519,1.0,forward
6.0,1.0178,0.01091,0.00211,-0.0743,0.3343,1.0,forward
6.25,1.0419,0.01119,0.00223,-0.0737,0.3265,1.0,forward
6.5,1.0667,0.01141,0.00233,-0.0732,0.3189,1.0,forward
7.0,1.1149,0.01193,0.00253,-0.072,0.3016,1.0,forward
7.25,1.1378,0.01226,0.00263,-0.0713,0.2911,1.0,forward
7.5,1.1623,0.01248,0.0027,-0.0708,0.2803,1.0,forward
7.75,1.1857,0.01276,0.00279,-0.0701,0.2696,1.0,forward
8.0,1.2081,0.01309,0.00288,-0.0693,0.2565,1.0,forward
8.25,1.2306,0.01342,0.00297,-0.0685,0.2396,1.0,forward
8.5,1.252,0.01382,0.00308,-0.0675,0.2179,1.0,forward
8.75,1.2701,0.01443,0.00328,-0.0662,0.1892,1.0,forward
9.0,1.2858,0.0152,0.00359,-0.0644,0.1605,1.0,forward
9.25,1.3008,0.01598,0.00395,-0.0626,0.1374,1.0,forward
9.5,1.3154,0.01669,0.00428,-0.0606,0.121,1.0,forward
9.75,1.3304,0.01736,0.00459,-0.0588,0.1089,1.0,forward
10.0,1.3453,0.01804,0.00491,-0.057,0.0991,1.0,forward
10.25,1.3597,0.01875,0.00524,-0.0551,0.0896,1.0,forward
10.5,1.3735,0.0195,0.00558,-0.0533,0.08,1.0,forward
10.75,1.3862,0.02034,0.00593,-0.0514,0.0676,1.0,forward
11.0,1.394,0.02152,0.00645,-0.049,0.0464,1.0,forward
11.25,1.3926,0.02336,0.0075,-0.0457,0.024,1.0,forward
11.5,1.3989,0.02474,0.00832,-0.0435,0.0206,1.0,forward
11.75,1.4055,0.02615,0.00918,-0.0414,0.0191,1.0,forward
12.0,1.4134,0.0275,0.01001,-0.0396,0.018,1.0,forward
12.25,1.4182,0.02914,0.01108,-0.0378,0.0172,1.0,forward
12.5,1.4215,0.03099,0.0123,-0.036,0.0165,1.0,forward
12.75,1.4264,0.03276,0.0135,-0.0346,0.0159,1.0,forward
13.0,1.4288,0.03481,0.01494,-0.0332,0.0154,1.0,forward
13.25,1.4279,0.03728,0.01672,-0.0319,0.0149,1.0,forward
13.5,1.4211,0.04041,0.01903,-0.0307,0.0145,1.0,forward
13.75,1.4218,0.04293,0.0209,-0.03,0.0142,1.0,forward
14.0,1.421,0.0457,0.02299,-0.0294,0.0139,1.0,forward
14.25,1.4183,0.04876,0.02535,-0.0289,0.0137,1.0,forward
14.5,1.4144,0.05211,0.02798,-0.0288,0.0134,1.0,forward
14.75,1.4093,0.05572,0.03086,-0.0288,0.0132,1.0,forward
15.0,1.4032,0.05958,0.03398,-0.0291,0.013,1.0,forward
15.25,1.396,0.06368,0.03734,-0.0295,0.0128,1.0,forward
15.5,1.3877,0.06802,0.04095,-0.0302,0.0127,1.0,forward
