alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.257,0.01361,0.00428,-0.0873,0.8726,0.0321,forward
-5.75,-0.231,0.01319,0.00394,-0.087,0.8641,0.0326,forward
-5.5,-0.2045,0.01281,0.00361,-0.0867,0.8566,0.0331,forward
-5.25,-0.1782,0.01246,0.00331,-0.0864,0.8481,0.0337,forward
-5.0,-0.1515,0.01214,0.00301,-0.0861,0.84,0.0344,forward
-4.5,-0.0984,0.01151,0.0025,-0.0856,0.8237,0.0358,forward
-4.25,-0.0715,0.01125,0.00229,-0.0853,0.8155,0.0368,forward
-4.0,-0.0447,0.01103,0.0021,-0.0851,0.8059,0.0379,forward
-3.5,0.0089,0.01061,0.00172,-0.0845,0.7846,0.0401,forward
-3.25,0.0359,0.01044,0.00157,-0.0842,0.7742,0.0417,forward
-3.0,0.063,0.01028,0.00143,-0.0839,0.7646,0.0436,forward
-2.75,0.0901,0.01012,0.00131,-0.0837,0.7548,0.0469,forward
-2.5,0.1168,0.00998,0.00119,-0.0834,0.7439,0.0533,forward
-2.25,0.1438,0.00982,0.00112,-0.0832,0.733,0.0677,forward
-2.0,0.1707,0.0097,0.00104,-0.0829,0.7227,0.0837,forward
-1.75,0.1976,0.00957,0.00097,-0.0827,0.7112,0.1003,forward
-1.5,0.2243,0.00943,0.0009,-0.0825,0.7001,0.1253,forward
-1.25,0.2508,0.00926,0.00086,-0.0822,0.6889,0.1645,forward
-1.0,0.2775,0.00909,0.00084,-0.082,0.6787,0.212,forward
-0.75,0.304,0.00897,0.00082,-0.0817,0.6682,0.2559,forward
-0.5,0.3309,0.00883,0.00081,-0.0816,0.6583,0.2989,forward
-0.25,0.3572,0.00872,0.00079,-0.0813,0.6481,0.3457,forward
0.0,0.3833,0.0085,0.00079,-0.081,0.6374,0.4193,forward
0.25,0.408,0.00821,0.0008,-0.0805,0.6262,0.5299,forward
0.5,0.4303,0.00781,0.00084,-0.0793,0.6135,0.6806,forward
0.75,0.4503,0.00745,0.00093,-0.0772,0.6011,0.8354,forward
1.0,0.4814,0.00744,0.00102,-0.0774,0.5877,0.9282,forward
1.25,0.5216,0.00755,0.00105,-0.0799,0.5731,0.9683,forward
1.75,0.5969,0.0078,0.00108,-0.0842,0.5423,0.9953,forward
2.0,0.6278,0.00795,0.00109,-0.0849,0.5258,1.0,forward
2.25,0.6514,0.00812,0.00111,-0.084,0.5085,1.0,forward
2.5,0.6748,0.0083,0.00113,-0.0831,0.4903,1.0,forward
2.75,0.6982,0.00848,0.00116,-0.0822,0.4723,1.0,forward
3.0,0.7216,0.00868,0.00119,-0.0813,0.4534,1.0,forward
3.25,0.7449,0.0089,0.00124,-0.0804,0.4334,1.0,forward
3.5,0.7681,0.00915,0.0013,-0.0795,0.4124,1.0,forward
3.75,0.7914,0.00941,0.00137,-0.0787,0.3933,1.0,forward
4.0,0.8151,0.00966,0.00144,-0.0779,0.3776,1.0,forward
4.25,0.8386,0.00993,0.00153,-0.0771,0.3621,1.0,forward
4.5,0.8619,0.01023,0.00162,-0.0763,0.3464,1.0,forward
4.75,0.8858,0.01049,0.00171,-0.0756,0.3326,1.0,forward
5.0,0.91,0.01074,0.0018,-0.075,0.3213,1.0,forward
5.5,0.9588,0.01123,0.00198,-0.0738,0.3026,1.0,forward
5.75,0.9832,0.01147,0.00207,-0.0733,0.2953,1.0,forward
6.0,1.0078,0.0117,0.00216,-0.0728,0.289,1.0,forward
6.25,1.0327,0.01191,0.00224,-0.0723,0.2817,1.0,forward
6.5,1.0564,0.01219,0.00235,-0.0716,0.2741,1.0,forward
6.75,1.0814,0.01239,0.00243,-0.0712,0.2666,1.0,forward
7.0,1.1046,0.0127,0.00253,-0.0705,0.2559,1.0,forward
7.25,1.128,0.013,0.00262,-0.0698,0.2414,1.0,forward
7.5,1.1499,0.01339,0.00273,-0.0689,0.2218,1.0,forward
7.75,1.1706,0.01387,0.00289,-0.0679,0.1961,1.0,forward
