alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.2549,0.01562,0.00537,-0.0884,0.8959,0.0357,forward
-5.75,-0.2293,0.0151,0.00496,-0.088,0.8879,0.0363,forward
-5.5,-0.2028,0.01461,0.00455,-0.0877,0.8803,0.0369,forward
-5.25,-0.176,0.01415,0.00415,-0.0875,0.8732,0.0377,forward
-5.0,-0.1499,0.01375,0.00379,-0.0871,0.8649,0.0385,forward
-4.75,-0.123,0.01333,0.00345,-0.0869,0.8577,0.0394,forward
-4.5,-0.0969,0.01298,0.0032,-0.0865,0.8494,0.0406,forward
-4.25,-0.0701,0.01266,0.00293,-0.0862,0.8416,0.0418,forward
-4.0,-0.0432,0.01238,0.00268,-0.086,0.8339,0.0429,forward
-3.75,-0.0166,0.01208,0.00247,-0.0857,0.8253,0.0443,forward
-3.5,0.0105,0.01184,0.00226,-0.0854,0.817,0.0461,forward
-3.25,0.0372,0.01161,0.00208,-0.0851,0.8068,0.0487,forward
-3.0,0.0641,0.01141,0.00191,-0.0848,0.7965,0.0525,forward
-2.75,0.0908,0.01121,0.00177,-0.0845,0.7856,0.0588,forward
-2.5,0.1177,0.01101,0.00165,-0.0842,0.776,0.0707,forward
-2.25,0.1446,0.01083,0.00154,-0.0839,0.7657,0.0875,forward
-2.0,0.1712,0.01064,0.00144,-0.0836,0.7552,0.1078,forward
-1.75,0.1977,0.01045,0.00134,-0.0833,0.7443,0.1364,forward
-1.5,0.224,0.01025,0.00129,-0.083,0.7324,0.1753,forward
-1.25,0.2503,0.01006,0.00124,-0.0827,0.7216,0.2272,forward
-1.0,0.2766,0.00988,0.00122,-0.0824,0.711,0.2783,forward
-0.75,0.303,0.00971,0.00119,-0.0821,0.7015,0.3262,forward
-0.5,0.3288,0.00949,0.00117,-0.0818,0.6907,0.3915,forward
-0.25,0.3533,0.00915,0.00116,-0.0812,0.6804,0.5001,forward
0.0,0.3758,0.00875,0.00119,-0.08,0.67,0.6372,forward
0.25,0.3969,0.00837,0.00126,-0.0782,0.6602,0.778,forward
0.5,0.4275,0.00824,0.00137,-0.078,0.6495,0.9096,forward
0.75,0.4725,0.0083,0.0014,-0.0813,0.6369,0.9655,forward
1.0,0.5129,0.00839,0.00138,-0.0839,0.6232,0.9872,forward
1.25,0.5522,0.00849,0.00135,-0.0864,0.6085,0.9991,forward
1.5,0.5779,0.0086,0.00134,-0.086,0.5946,1.0,forward
1.75,0.6022,0.00872,0.00133,-0.0852,0.5809,1.0,forward
2.0,0.6261,0.00885,0.00132,-0.0844,0.5669,1.0,forward
2.25,0.6498,0.00901,0.00132,-0.0835,0.552,1.0,forward
2.5,0.6733,0.00917,0.00133,-0.0826,0.5354,1.0,forward
2.75,0.6968,0.00936,0.00135,-0.0817,0.5176,1.0,forward
3.0,0.7203,0.00955,0.00138,-0.0808,0.4993,1.0,forward
3.25,0.7438,0.00976,0.00142,-0.08,0.4813,1.0,forward
3.5,0.7673,0.00998,0.00146,-0.0791,0.4626,1.0,forward
3.75,0.7905,0.01023,0.00152,-0.0782,0.4426,1.0,forward
4.0,0.8135,0.01051,0.00158,-0.0773,0.4227,1.0,forward
4.25,0.8367,0.01078,0.00166,-0.0765,0.4044,1.0,forward
4.5,0.8599,0.01107,0.00175,-0.0756,0.3877,1.0,forward
4.75,0.883,0.01138,0.00184,-0.0748,0.3712,1.0,forward
5.0,0.9059,0.0117,0.00195,-0.074,0.3555,1.0,forward
5.25,0.9289,0.01203,0.00206,-0.0731,0.3413,1.0,forward
5.5,0.9515,0.01238,0.00218,-0.0723,0.3285,1.0,forward
5.75,0.9757,0.01263,0.00229,-0.0717,0.3181,1.0,forward
6.0,0.9988,0.01296,0.00241,-0.0709,0.31,1.0,forward
6.25,1.0235,0.01319,0.00251,-0.0704,0.3027,1.0,forward
6.5,1.0469,0.01349,0.00263,-0.0697,0.2948,1.0,forward
