alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.261,0.01817,0.00695,-0.0881,0.9144,0.0398,forward
-5.75,-0.2354,0.01753,0.00642,-0.0877,0.9066,0.0405,forward
-5.5,-0.2079,0.01689,0.00586,-0.0876,0.8998,0.0413,forward
-5.25,-0.1781,0.01628,0.00529,-0.088,0.8946,0.0425,forward
-5.0,-0.1535,0.01578,0.00491,-0.0874,0.8858,0.0436,forward
-4.75,-0.1258,0.01529,0.00455,-0.0873,0.8791,0.0448,forward
-4.5,-0.0988,0.01485,0.00419,-0.0871,0.872,0.0461,forward
-4.25,-0.0723,0.01445,0.00384,-0.0868,0.8639,0.0474,forward
-4.0,-0.0443,0.01403,0.00354,-0.0867,0.8576,0.0489,forward
-3.75,-0.0184,0.01373,0.00332,-0.0863,0.8489,0.0511,forward
-3.5,0.009,0.01342,0.00308,-0.0861,0.8415,0.054,forward
-3.25,0.0361,0.01314,0.00287,-0.0859,0.8338,0.0578,forward
-3.0,0.0629,0.01287,0.00268,-0.0856,0.825,0.0632,forward
-2.75,0.0901,0.0126,0.00249,-0.0853,0.8162,0.0728,forward
-2.5,0.1166,0.01233,0.00232,-0.0849,0.8054,0.0891,forward
-2.25,0.1432,0.01206,0.00216,-0.0846,0.7953,0.1106,forward
-2.0,0.1697,0.0118,0.00203,-0.0843,0.7849,0.1396,forward
-1.75,0.1959,0.01154,0.00195,-0.0839,0.7746,0.1822,forward
-1.5,0.2222,0.01128,0.00188,-0.0836,0.7641,0.2372,forward
-1.25,0.2479,0.01105,0.00184,-0.0832,0.7523,0.2937,forward
-1.0,0.2737,0.0108,0.00176,-0.0827,0.7409,0.3541,forward
-0.75,0.2982,0.01045,0.00174,-0.0821,0.7299,0.4443,forward
-0.5,0.3212,0.01,0.00175,-0.0811,0.721,0.5755,forward
-0.25,0.3424,0.00959,0.0018,-0.0793,0.7111,0.7157,forward
0.0,0.3684,0.00936,0.0019,-0.078,0.7014,0.8495,forward
0.25,0.4172,0.00935,0.00193,-0.0818,0.6898,0.9528,forward
0.5,0.4626,0.00939,0.0019,-0.0853,0.6783,0.9869,forward
0.75,0.5026,0.00946,0.00183,-0.0879,0.6672,1.0,forward
1.0,0.5271,0.00953,0.00181,-0.0872,0.6554,1.0,forward
1.25,0.5515,0.00963,0.00177,-0.0865,0.6434,1.0,forward
1.5,0.5756,0.00974,0.00174,-0.0857,0.6301,1.0,forward
1.75,0.5998,0.00985,0.00172,-0.0849,0.616,1.0,forward
2.0,0.6239,0.00997,0.00171,-0.084,0.6021,1.0,forward
2.25,0.648,0.01011,0.0017,-0.0832,0.5883,1.0,forward
2.5,0.6719,0.01027,0.00169,-0.0824,0.5734,1.0,forward
2.75,0.6959,0.01042,0.00171,-0.0816,0.5575,1.0,forward
3.0,0.7197,0.01061,0.00172,-0.0807,0.5404,1.0,forward
3.25,0.7432,0.01081,0.00174,-0.0798,0.5223,1.0,forward
3.5,0.7667,0.01103,0.00177,-0.0789,0.504,1.0,forward
3.75,0.7902,0.01126,0.00181,-0.0781,0.4859,1.0,forward
4.0,0.8134,0.01151,0.00187,-0.0772,0.467,1.0,forward
4.25,0.8364,0.01179,0.00193,-0.0762,0.4474,1.0,forward
4.5,0.8593,0.01208,0.002,-0.0753,0.4288,1.0,forward
4.75,0.8822,0.01239,0.00209,-0.0744,0.4116,1.0,forward
5.0,0.9048,0.01272,0.00219,-0.0735,0.3951,1.0,forward
5.25,0.9271,0.01307,0.0023,-0.0726,0.379,1.0,forward
5.5,0.9491,0.01345,0.00242,-0.0716,0.3632,1.0,forward
6.0,0.9939,0.01417,0.00267,-0.0698,0.335,1.0,forward
6.25,1.0166,0.01453,0.00281,-0.069,0.3255,1.0,forward
6.5,1.0399,0.01485,0.00295,-0.0683,0.3167,1.0,forward
6.75,1.0624,0.01521,0.0031,-0.0674,0.3087,1.0,forward
7.0,1.0858,0.01552,0.00324,-0.0668,0.3,1.0,forward
7.25,1.1075,0.01592,0.00339,-0.0658,0.2917,1.0,forward
7.5,1.1309,0.01621,0.00353,-0.0651,0.2826,1.0,forward
7.75,1.1521,0.01661,0.00368,-0.0641,0.2734,1.0,forward
8.0,1.1743,0.01694,0.00382,-0.0633,0.262,1.0,forward
8.25,1.1948,0.01734,0.00396,-0.0622,0.2475,1.0,forward
8.5,1.2138,0.01781,0.0041,-0.0609,0.2284,1.0,forward
8.75,1.2304,0.0184,0.00429,-0.0594,0.2045,1.0,forward
9.0,1.2444,0.01913,0.00455,-0.0574,0.1785,1.0,forward
9.25,1.2565,0.01994,0.0049,-0.0552,0.1568,1.0,forward
9.5,1.2686,0.0208,0.00531,-0.0531,0.1392,1.0,forward
9.75,1.281,0.02165,0.00575,-0.0511,0.1258,1.0,forward
10.0,1.2931,0.02255,0.00621,-0.0491,0.1142,1.0,forward
10.25,1.305,0.02347,0.00671,-0.0473,0.1042,1.0,forward
10.5,1.3172,0.02438,0.00721,-0.0455,0.0964,1.0,forward
10.75,1.3289,0.02535,0.00774,-0.0438,0.0896,1.0,forward
11.0,1.3398,0.02639,0.00833,-0.0421,0.0826,1.0,forward
11.25,1.3503,0.02749,0.00896,-0.0405,0.0754,1.0,forward
11.5,1.36,0.02868,0.00963,-0.0389,0.0664,1.0,forward
11.75,1.3681,0.03004,0.01041,-0.0372,0.0552,1.0,forward
12.0,1.3719,0.03178,0.01145,-0.0355,0.0388,1.0,forward
12.25,1.3695,0.03412,0.013,-0.0335,0.0254,1.0,forward
12.5,1.3693,0.03638,0.01458,-0.0319,0.0217,1.0,forward
12.75,1.3704,0.03861,0.01618,-0.0305,0.0198,1.0,forward
13.0,1.3713,0.04094,0.01788,-0.0294,0.0186,1.0,forward
13.25,1.3718,0.0434,0.01971,-0.0285,0.0176,1.0,forward
13.5,1.3699,0.0462,0.02186,-0.0277,0.0169,1.0,forward
13.75,1.3692,0.04895,0.02398,-0.0271,0.0162,1.0,forward
14.0,1.3674,0.05193,0.02633,-0.0268,0.0157,1.0,forward
14.25,1.364,0.05521,0.02896,-0.0267,0.0153,1.0,forward
14.5,1.359,0.05884,0.03194,-0.0268,0.015,1.0,forward
14.75,1.3521,0.06285,0.0353,-0.0272,0.0147,1.0,forward
15.0,1.3434,0.06727,0.03907,-0.028,0.0145,1.0,forward
15.25,1.337,0.07153,0.04274,-0.0289,0.0143,1.0,forward
15.5,1.3295,0.07607,0.04673,-0.03,0.0141,1.0,forward
15.75,1.3209,0.08089,0.05105,-0.0313,0.0139,1.0,forward
16.0,1.3117,0.08594,0.05568,-0.0329,0.0137,1.0,forward
16.25,1.3021,0.09113,0.06056,-0.0346,0.0135,1.0,forward
16.5,1.2926,0.09643,0.06567,-0.0365,0.0134,1.0,forward
16.75,1.2832,0.10178,0.071,-0.0385,0.0132,1.0,forward
17.0,1.2743,0.10709,0.07647,-0.0406,0.0131,1.0,forward
17.25,1.2662,0.11232,0.08205,-0.0428,0.013,1.0,forward
17.5,1.259,0.11741,0.0877,-0.045,0.0128,1.0,forward
17.75,1.2529,0.1223,0.09332,-0.0472,0.0126,1.0,forward
18.0,1.248,0.12697,0.09887,-0.0494,0.0125,1.0,forward
