alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-3.5,0.0084,0.01032,0.00161,-0.0842,0.7748,0.0386,reverse
-3.75,-0.0186,0.01049,0.00177,-0.0845,0.7855,0.0376,reverse
-4.0,-0.0455,0.01068,0.00195,-0.0848,0.7969,0.0365,reverse
-4.25,-0.0723,0.01091,0.00214,-0.085,0.8063,0.0355,reverse
-4.5,-0.0989,0.01118,0.00236,-0.0853,0.8158,0.0346,reverse
-4.75,-0.1259,0.01142,0.00259,-0.0855,0.8239,0.034,reverse
-5.0,-0.1526,0.0117,0.00283,-0.0858,0.8323,0.0333,reverse
-5.25,-0.1793,0.012,0.00309,-0.086,0.8402,0.0327,reverse
-5.5,-0.2058,0.01233,0.00337,-0.0863,0.8484,0.0321,reverse
-5.75,-0.2319,0.01273,0.00366,-0.0866,0.8569,0.0316,reverse
-6.0,-0.2579,0.01319,0.00403,-0.0869,0.8646,0.0312,reverse
