alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.3295,0.03519,0.02569,-0.0781,0.9548,0.077,forward
-5.75,-0.3009,0.02649,0.01524,-0.0797,0.9513,0.0626,forward
-5.5,-0.2718,0.02478,0.01378,-0.0804,0.9456,0.0634,forward
-5.25,-0.2398,0.02351,0.01269,-0.0815,0.9399,0.0645,forward
-5.0,-0.2019,0.02203,0.01117,-0.0835,0.9366,0.0652,forward
-4.75,-0.1613,0.02073,0.00985,-0.086,0.9342,0.0662,forward
-4.5,-0.1205,0.01966,0.00869,-0.0884,0.9321,0.068,forward
-4.25,-0.0968,0.01893,0.00813,-0.0876,0.9231,0.0698,forward
-4.0,-0.0616,0.01812,0.00751,-0.0889,0.9187,0.0721,forward
-3.75,-0.0243,0.01734,0.00676,-0.0905,0.9154,0.0748,forward
-3.5,0.0044,0.01665,0.00636,-0.0906,0.909,0.0778,forward
-3.25,0.033,0.01612,0.00594,-0.0906,0.9018,0.0827,forward
-3.0,0.0662,0.01545,0.00545,-0.0913,0.8972,0.0898,forward
-2.75,0.0926,0.01482,0.00508,-0.0909,0.8892,0.1003,forward
-2.5,0.12,0.01404,0.00462,-0.0906,0.8811,0.1329,forward
-2.25,0.15,0.01318,0.00424,-0.0908,0.8754,0.2163,forward
-2.0,0.1725,0.01277,0.00417,-0.0897,0.8643,0.295,forward
-1.75,0.2011,0.01218,0.00393,-0.0895,0.8578,0.3781,forward
-1.5,0.2218,0.01165,0.0039,-0.088,0.8469,0.4942,forward
-1.25,0.2425,0.01076,0.00382,-0.0857,0.8393,0.7004,forward
-1.0,0.2719,0.0104,0.00398,-0.0843,0.8293,0.8963,forward
-0.75,0.336,0.01028,0.00385,-0.0908,0.823,0.9769,forward
-0.5,0.3938,0.01017,0.00367,-0.0968,0.8159,1.0,forward
-0.25,0.4176,0.01016,0.00355,-0.0959,0.8052,1.0,forward
0.0,0.4422,0.01016,0.00344,-0.0951,0.7953,1.0,forward
0.25,0.4668,0.01016,0.00332,-0.0943,0.7848,1.0,forward
0.5,0.4911,0.0102,0.00326,-0.0935,0.7742,1.0,forward
0.75,0.5166,0.01022,0.00315,-0.0928,0.7644,1.0,forward
1.0,0.5406,0.01029,0.00313,-0.0919,0.7531,1.0,forward
1.5,0.59,0.01039,0.003,-0.0903,0.7304,1.0,forward
1.75,0.6149,0.01046,0.00293,-0.0895,0.7187,1.0,forward
2.0,0.64,0.01053,0.00285,-0.0887,0.7068,1.0,forward
2.25,0.6638,0.01062,0.00286,-0.0877,0.6936,1.0,forward
