alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.2427,0.01597,0.00657,-0.0925,0.933,0.0431,forward
-5.75,-0.2179,0.01505,0.00595,-0.0919,0.9256,0.0438,forward
-5.5,-0.1912,0.01444,0.00548,-0.0916,0.9188,0.0447,forward
-5.25,-0.1631,0.01388,0.00496,-0.0915,0.9134,0.0456,forward
-5.0,-0.1384,0.01337,0.00451,-0.0908,0.9048,0.0464,forward
-4.75,-0.1116,0.01289,0.00405,-0.0904,0.8979,0.0471,forward
-4.5,-0.0857,0.01235,0.00364,-0.0899,0.8906,0.048,forward
-4.25,-0.0601,0.01191,0.00334,-0.0894,0.882,0.0492,forward
-4.0,-0.033,0.01156,0.00303,-0.089,0.8748,0.0507,forward
-3.75,-0.0073,0.01126,0.00276,-0.0884,0.8648,0.0523,forward
-3.5,0.0194,0.0109,0.00249,-0.088,0.8563,0.0544,forward
-3.25,0.0455,0.01064,0.00229,-0.0875,0.8462,0.0568,forward
-3.0,0.0727,0.01037,0.00207,-0.0872,0.8385,0.0602,forward
-2.75,0.099,0.01013,0.00192,-0.0868,0.8285,0.0656,forward
-2.5,0.1261,0.00987,0.00173,-0.0864,0.8196,0.0788,forward
-2.25,0.1518,0.00949,0.00157,-0.086,0.8094,0.1149,forward
-2.0,0.1782,0.00918,0.00145,-0.0857,0.8005,0.166,forward
-1.75,0.2041,0.0089,0.00141,-0.0854,0.79,0.2262,forward
-1.5,0.2307,0.00869,0.00135,-0.0851,0.7808,0.2816,forward
-1.25,0.2568,0.00847,0.00132,-0.0847,0.7707,0.3371,forward
-1.0,0.2826,0.00819,0.00127,-0.0843,0.7618,0.4162,forward
-0.75,0.3064,0.00775,0.00127,-0.0836,0.7519,0.5434,forward
-0.5,0.3276,0.00725,0.00129,-0.082,0.7435,0.7115,forward
-0.25,0.3485,0.0069,0.00141,-0.0799,0.7339,0.8533,forward
0.0,0.3846,0.0069,0.00147,-0.0809,0.7251,0.9401,forward
0.25,0.4294,0.00696,0.0015,-0.0843,0.7146,0.9752,forward
0.5,0.4833,0.00703,0.00148,-0.0897,0.7038,0.9952,forward
0.75,0.5187,0.00707,0.00145,-0.0914,0.6922,1.0,forward
1.0,0.5438,0.00713,0.00141,-0.0908,0.6817,1.0,forward
1.25,0.5687,0.00721,0.00138,-0.0901,0.6703,1.0,forward
1.5,0.5936,0.00727,0.00136,-0.0895,0.6587,1.0,forward
1.75,0.6182,0.00738,0.00133,-0.0888,0.6469,1.0,forward
2.0,0.6427,0.00746,0.00132,-0.088,0.6335,1.0,forward
2.25,0.6672,0.00756,0.00131,-0.0873,0.6195,1.0,forward
2.5,0.6913,0.00769,0.0013,-0.0864,0.6051,1.0,forward
2.75,0.7152,0.00783,0.0013,-0.0856,0.5901,1.0,forward
3.0,0.7389,0.00798,0.00131,-0.0847,0.5737,1.0,forward
3.25,0.7626,0.00814,0.00132,-0.0838,0.5558,1.0,forward
3.5,0.7858,0.00833,0.00134,-0.0828,0.5361,1.0,forward
3.75,0.8089,0.00855,0.00138,-0.0818,0.5148,1.0,forward
4.0,0.8319,0.00878,0.00142,-0.0809,0.491,1.0,forward
4.25,0.8541,0.00908,0.00148,-0.0798,0.4632,1.0,forward
4.5,0.8761,0.00941,0.00155,-0.0787,0.4349,1.0,forward
4.75,0.8983,0.00974,0.00164,-0.0776,0.4095,1.0,forward
5.0,0.921,0.01008,0.00174,-0.0767,0.3895,1.0,forward
5.25,0.9443,0.01038,0.00185,-0.0759,0.3737,1.0,forward
5.5,0.9678,0.01068,0.00196,-0.0752,0.3617,1.0,forward
5.75,0.9917,0.01097,0.00208,-0.0745,0.3515,1.0,forward
6.0,1.0159,0.01124,0.00219,-0.0739,0.3428,1.0,forward
6.25,1.04,0.01151,0.00231,-0.0733,0.3341,1.0,forward
6.5,1.0638,0.01181,0.00243,-0.0726,0.3263,1.0,forward
6.75,1.0883,0.01205,0.00254,-0.0721,0.3182,1.0,forward
7.0,1.1112,0.01239,0.00266,-0.0713,0.3093,1.0,forward
7.25,1.1357,0.0126,0.00275,-0.0708,0.2994,1.0,forward
7.5,1.1587,0.01291,0.00284,-0.0701,0.2886,1.0,forward
7.75,1.1818,0.0132,0.00293,-0.0693,0.2771,1.0,forward
8.0,1.2053,0.01346,0.00301,-0.0687,0.2655,1.0,forward
8.25,1.2276,0.01379,0.0031,-0.0679,0.2511,1.0,forward
8.5,1.2489,0.01417,0.0032,-0.0669,0.2317,1.0,forward
8.75,1.2679,0.0147,0.00335,-0.0656,0.2067,1.0,forward
9.0,1.2843,0.01539,0.0036,-0.064,0.1771,1.0,forward
9.25,1.2988,0.01619,0.00394,-0.0621,0.1513,1.0,forward
9.5,1.3121,0.01697,0.0043,-0.06,0.132,1.0,forward
9.75,1.3262,0.0177,0.00465,-0.058,0.1178,1.0,forward
10.0,1.3406,0.01841,0.00499,-0.0561,0.1071,1.0,forward
10.25,1.3546,0.01915,0.00534,-0.0543,0.0974,1.0,forward
10.5,1.3684,0.01991,0.0057,-0.0525,0.0885,1.0,forward
10.75,1.3809,0.02078,0.00609,-0.0506,0.0782,1.0,forward
11.0,1.3922,0.02173,0.00649,-0.0486,0.0641,1.0,forward
11.25,1.3972,0.02315,0.00716,-0.0461,0.0392,1.0,forward
11.5,1.3965,0.02501,0.00827,-0.0431,0.0242,1.0,forward
11.75,1.4019,0.02651,0.00918,-0.041,0.0213,1.0,forward
12.0,1.408,0.02802,0.01012,-0.0391,0.0198,1.0,forward
12.25,1.4129,0.02967,0.01117,-0.0373,0.0188,1.0,forward
12.5,1.4183,0.03135,0.01227,-0.0357,0.018,1.0,forward
12.75,1.4207,0.03334,0.01365,-0.0341,0.0173,1.0,forward
13.0,1.4177,0.03593,0.01548,-0.0325,0.0168,1.0,forward
13.25,1.4208,0.03804,0.01698,-0.0314,0.0163,1.0,forward
13.5,1.4211,0.0405,0.01878,-0.0305,0.0158,1.0,forward
13.75,1.4192,0.04329,0.02088,-0.0297,0.0154,1.0,forward
14.0,1.4147,0.04644,0.0233,-0.0291,0.015,1.0,forward
14.25,1.4072,0.05008,0.02615,-0.0287,0.0147,1.0,forward
14.5,1.3968,0.05421,0.02943,-0.0286,0.0145,1.0,forward
14.75,1.3925,0.05778,0.03228,-0.0287,0.0143,1.0,forward
15.0,1.3887,0.06142,0.03523,-0.029,0.0141,1.0,forward
15.25,1.3836,0.0653,0.03841,-0.0294,0.0139,1.0,forward
15.5,1.378,0.06932,0.04176,-0.0301,0.0137,1.0,forward
15.75,1.3723,0.07345,0.04524,-0.0308,0.0136,1.0,forward
16.0,1.3665,0.07763,0.0488,-0.0316,0.0134,1.0,forward
16.25,1.361,0.08181,0.0524,-0.0325,0.0132,1.0,forward
16.5,1.356,0.08594,0.05599,-0.0334,0.013,1.0,forward
16.75,1.3517,0.08991,0.05948,-0.0342,0.0129,1.0,forward
17.0,1.3485,0.09368,0.06279,-0.0349,0.0127,1.0,forward
17.25,1.3475,0.09687,0.06551,-0.0352,0.0125,1.0,forward
17.5,1.3497,0.09923,0.06729,-0.0348,0.0123,1.0,forward
17.75,1.3477,0.10318,0.0711,-0.0361,0.0122,1.0,forward
18.0,1.3461,0.10704,0.07492,-0.0374,0.0121,1.0,forward
