alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.4583,0.06861,0.05955,-0.0331,0.992,0.1425,forward
-5.75,-0.4284,0.06366,0.05454,-0.0408,0.9862,0.1541,forward
-5.5,-0.4041,0.05943,0.04999,-0.0463,0.9783,0.1665,forward
-5.25,-0.3745,0.05684,0.0479,-0.048,0.9728,0.1728,forward
-5.0,-0.3401,0.05316,0.04434,-0.0532,0.9682,0.1858,forward
-4.75,-0.3188,0.05043,0.04172,-0.0549,0.9595,0.1995,forward
-4.5,-0.2864,0.04754,0.0389,-0.0584,0.9537,0.2152,forward
-4.25,-0.2474,0.04452,0.03583,-0.0629,0.9499,0.2313,forward
-4.0,-0.2259,0.04176,0.03304,-0.0637,0.9402,0.2337,forward
-3.75,-0.1614,0.02553,0.01312,-0.0706,0.9398,0.0932,forward
-3.5,-0.1207,0.02449,0.01203,-0.0729,0.9351,0.0963,forward
-3.25,-0.076,0.02352,0.01125,-0.0762,0.9319,0.1016,forward
-3.0,-0.0366,0.01597,0.00854,-0.0765,0.9145,0.1079,forward
-2.75,-0.0129,0.02209,0.0102,-0.0777,0.9173,0.1141,forward
-2.5,0.0314,0.0212,0.00965,-0.0808,0.9139,0.1307,forward
-2.25,0.0538,0.0206,0.0094,-0.08,0.904,0.1572,forward
-2.0,0.0933,0.01952,0.00905,-0.0824,0.8989,0.2581,forward
-1.75,0.1376,0.01837,0.00875,-0.0855,0.8953,0.419,forward
-1.5,0.1559,0.0175,0.00889,-0.0832,0.884,0.6304,forward
-1.25,0.2526,0.01636,0.00862,-0.0936,0.884,1.0,forward
-1.0,0.2984,0.01591,0.00803,-0.0964,0.8775,1.0,forward
-0.5,0.3586,0.01558,0.00748,-0.0965,0.8587,1.0,forward
-0.25,0.379,0.01566,0.00746,-0.0949,0.8469,1.0,forward
0.0,0.4137,0.0154,0.00711,-0.0956,0.8401,1.0,forward
0.25,0.4348,0.01548,0.0071,-0.0941,0.8284,1.0,forward
0.5,0.4675,0.01525,0.00679,-0.0944,0.8211,1.0,forward
0.75,0.4892,0.01534,0.00679,-0.093,0.8092,1.0,forward
1.0,0.5216,0.01509,0.00644,-0.0931,0.8014,1.0,forward
1.25,0.5432,0.01517,0.00644,-0.0916,0.7885,1.0,forward
1.5,0.5735,0.015,0.00616,-0.0914,0.7796,1.0,forward
1.75,0.597,0.01504,0.00612,-0.0903,0.767,1.0,forward
2.0,0.6227,0.01505,0.00602,-0.0894,0.7552,1.0,forward
2.25,0.6521,0.01491,0.00574,-0.089,0.7444,1.0,forward
2.5,0.6752,0.01497,0.0057,-0.0878,0.7298,1.0,forward
2.75,0.7006,0.01498,0.00558,-0.0868,0.7159,1.0,forward
3.0,0.7283,0.01494,0.00538,-0.0862,0.7028,1.0,forward
3.25,0.7542,0.01496,0.00524,-0.0854,0.6877,1.0,forward
3.5,0.7784,0.01503,0.00516,-0.0843,0.6706,1.0,forward
3.75,0.803,0.0151,0.00505,-0.0833,0.6525,1.0,forward
4.0,0.8277,0.01519,0.00495,-0.0822,0.6335,1.0,forward
4.25,0.8523,0.01533,0.00486,-0.0812,0.6139,1.0,forward
4.5,0.8767,0.0155,0.00479,-0.0803,0.5937,1.0,forward
4.75,0.9011,0.01574,0.00475,-0.0793,0.5735,1.0,forward
5.0,0.9252,0.01604,0.00477,-0.0784,0.5539,1.0,forward
5.25,0.949,0.01639,0.00485,-0.0775,0.535,1.0,forward
5.5,0.9722,0.01676,0.00497,-0.0765,0.5171,1.0,forward
5.75,0.9952,0.01714,0.00512,-0.0756,0.5001,1.0,forward
6.0,1.018,0.01752,0.00526,-0.0746,0.4834,1.0,forward
6.25,1.0403,0.01789,0.00535,-0.0735,0.4667,1.0,forward
6.5,1.0626,0.01827,0.00544,-0.0725,0.451,1.0,forward
6.75,1.0858,0.01869,0.00554,-0.0716,0.4373,1.0,forward
7.0,1.1085,0.01911,0.00572,-0.0707,0.4243,1.0,forward
7.25,1.1306,0.01958,0.00597,-0.0698,0.4114,1.0,forward
7.5,1.1535,0.02007,0.00614,-0.0689,0.3994,1.0,forward
7.75,1.1755,0.02054,0.00632,-0.068,0.3868,1.0,forward
8.0,1.1962,0.02105,0.0066,-0.0668,0.3737,1.0,forward
8.25,1.2175,0.0216,0.00681,-0.0658,0.3609,1.0,forward
8.5,1.2391,0.02217,0.00694,-0.0648,0.3474,1.0,forward
8.75,1.2564,0.02268,0.00725,-0.0631,0.3326,1.0,forward
9.0,1.2734,0.02326,0.0075,-0.0614,0.3168,1.0,forward
9.25,1.2883,0.02383,0.00768,-0.0594,0.2995,1.0,forward
