alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.3198,0.02795,0.01759,-0.0806,0.9527,0.0614,forward
-5.75,-0.2825,0.02521,0.01467,-0.0831,0.9505,0.0607,forward
-5.5,-0.2583,0.02365,0.01294,-0.0826,0.9424,0.0613,forward
-5.25,-0.2229,0.02209,0.01118,-0.0841,0.9383,0.0622,forward
-5.0,-0.1837,0.02073,0.00967,-0.0863,0.9356,0.0628,forward
-4.75,-0.1449,0.01945,0.00874,-0.0886,0.9333,0.0639,forward
-4.5,-0.1156,0.01871,0.00812,-0.0888,0.9269,0.0655,forward
-4.25,-0.0842,0.018,0.00743,-0.0893,0.9208,0.0677,forward
-4.0,-0.049,0.01712,0.00675,-0.0906,0.9169,0.0698,forward
-3.75,-0.0133,0.01637,0.00617,-0.092,0.9138,0.0725,forward
-3.5,0.0102,0.01592,0.00578,-0.0909,0.9044,0.0753,forward
-3.25,0.0411,0.01529,0.00539,-0.0914,0.899,0.0802,forward
-3.0,0.074,0.01463,0.00489,-0.0921,0.8947,0.0872,forward
-2.75,0.0964,0.01416,0.00459,-0.0908,0.8838,0.0973,forward
-2.5,0.1256,0.0133,0.00408,-0.0908,0.8775,0.1313,forward
-2.25,0.1489,0.01269,0.00389,-0.0899,0.8675,0.2035,forward
-2.0,0.1764,0.01215,0.0037,-0.0896,0.8599,0.2864,forward
-1.75,0.201,0.01176,0.00359,-0.0888,0.8505,0.3586,forward
-1.5,0.2256,0.01118,0.00345,-0.088,0.8417,0.4663,forward
-1.25,0.2447,0.01045,0.00344,-0.0858,0.8318,0.6461,forward
-1.0,0.267,0.00989,0.00352,-0.0831,0.8229,0.8482,forward
-0.75,0.323,0.00981,0.00351,-0.0877,0.8163,0.9595,forward
-0.5,0.3852,0.00974,0.0034,-0.0946,0.8079,0.9951,forward
-0.25,0.4192,0.00969,0.00321,-0.0957,0.7996,1.0,forward
0.0,0.4425,0.00971,0.00315,-0.0948,0.7879,1.0,forward
0.25,0.4678,0.00973,0.00303,-0.0941,0.7784,1.0,forward
0.5,0.492,0.00976,0.00297,-0.0933,0.7674,1.0,forward
0.75,0.5169,0.00981,0.0029,-0.0926,0.7574,1.0,forward
1.0,0.5418,0.00985,0.00283,-0.0918,0.7466,1.0,forward
1.25,0.5662,0.00992,0.0028,-0.091,0.7351,1.0,forward
1.5,0.592,0.00997,0.00269,-0.0903,0.7245,1.0,forward
1.75,0.6154,0.01005,0.00269,-0.0893,0.7113,1.0,forward
2.0,0.6402,0.01013,0.00265,-0.0885,0.6995,1.0,forward
2.25,0.6652,0.01022,0.00258,-0.0877,0.6875,1.0,forward
2.5,0.689,0.01031,0.00259,-0.0868,0.6736,1.0,forward
2.75,0.7134,0.01042,0.00256,-0.086,0.6596,1.0,forward
