alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
18.0,1.3279,0.11419,0.08465,-0.0456,0.0077,1.0,reverse
17.75,1.3367,0.10888,0.07903,-0.0434,0.0078,1.0,reverse
17.5,1.3462,0.10352,0.07356,-0.0413,0.0078,1.0,reverse
17.25,1.356,0.09813,0.06825,-0.0394,0.0079,1.0,reverse
17.0,1.3659,0.09282,0.06318,-0.0375,0.008,1.0,reverse
16.75,1.3757,0.08761,0.05835,-0.0358,0.0081,1.0,reverse
16.5,1.3851,0.08253,0.05375,-0.0343,0.0082,1.0,reverse
16.25,1.3938,0.07764,0.04941,-0.0329,0.0083,1.0,reverse
16.0,1.4015,0.07303,0.04541,-0.0317,0.0083,1.0,reverse
15.75,1.4098,0.06842,0.04146,-0.0307,0.0084,1.0,reverse
15.5,1.4191,0.06382,0.03758,-0.0298,0.0085,1.0,reverse
15.25,1.4261,0.05968,0.03416,-0.0292,0.0087,1.0,reverse
15.0,1.431,0.05595,0.03113,-0.0288,0.0088,1.0,reverse
14.75,1.4342,0.05256,0.02842,-0.0287,0.009,1.0,reverse
14.5,1.4359,0.04947,0.02599,-0.0289,0.0092,1.0,reverse
14.25,1.4364,0.04663,0.02381,-0.0292,0.0095,1.0,reverse
14.0,1.4356,0.04403,0.02184,-0.0297,0.0098,1.0,reverse
13.75,1.4333,0.04166,0.02008,-0.0303,0.0101,1.0,reverse
13.5,1.4297,0.0395,0.0185,-0.0311,0.0103,1.0,reverse
13.25,1.429,0.03712,0.01677,-0.0321,0.0106,1.0,reverse
13.0,1.4252,0.03511,0.01533,-0.0332,0.0109,1.0,reverse
12.75,1.4197,0.03333,0.0141,-0.0344,0.0113,1.0,reverse
12.5,1.4127,0.03173,0.01301,-0.0356,0.0117,1.0,reverse
12.25,1.4042,0.0303,0.01206,-0.0369,0.0122,1.0,reverse
12.0,1.3966,0.02885,0.01111,-0.0384,0.0127,1.0,reverse
11.75,1.3882,0.0275,0.01023,-0.04,0.0133,1.0,reverse
11.5,1.3781,0.02633,0.00949,-0.0416,0.0141,1.0,reverse
11.25,1.3682,0.02517,0.00877,-0.0433,0.0151,1.0,reverse
11.0,1.3582,0.02405,0.00808,-0.0451,0.0168,1.0,reverse
10.75,1.3514,0.02275,0.00726,-0.0474,0.0213,1.0,reverse
10.5,1.351,0.02106,0.00627,-0.0506,0.0486,1.0,reverse
10.25,1.3384,0.0202,0.00585,-0.0524,0.0602,1.0,reverse
10.0,1.3236,0.01951,0.00551,-0.0541,0.0681,1.0,reverse
9.75,1.3079,0.01887,0.0052,-0.0557,0.0747,1.0,reverse
9.5,1.2918,0.01826,0.0049,-0.0573,0.0817,1.0,reverse
9.25,1.2758,0.01765,0.00461,-0.059,0.0897,1.0,reverse
9.0,1.259,0.01707,0.00433,-0.0606,0.0983,1.0,reverse
8.75,1.2419,0.01648,0.00405,-0.0622,0.1093,1.0,reverse
8.5,1.2243,0.01585,0.00375,-0.0636,0.1249,1.0,reverse
8.25,1.207,0.01516,0.00342,-0.0651,0.146,1.0,reverse
8.0,1.1893,0.01449,0.00313,-0.0666,0.1694,1.0,reverse
7.75,1.1706,0.01387,0.00289,-0.0679,0.1961,1.0,reverse
7.5,1.1499,0.01339,0.00273,-0.0689,0.2218,1.0,reverse
7.25,1.128,0.013,0.00262,-0.0698,0.2414,1.0,reverse
7.0,1.1046,0.0127,0.00253,-0.0705,0.2559,1.0,reverse
6.75,1.0814,0.01239,0.00243,-0.0712,0.2666,1.0,reverse
6.5,1.0564,0.01219,0.00235,-0.0716,0.2741,1.0,reverse
6.25,1.0327,0.01191,0.00224,-0.0723,0.2817,1.0,reverse
6.0,1.0078,0.0117,0.00216,-0.0728,0.289,1.0,reverse
5.75,0.9832,0.01147,0.00207,-0.0733,0.2953,1.0,reverse
5.5,0.9588,0.01123,0.00198,-0.0738,0.3026,1.0,reverse
5.0,0.91,0.01074,0.0018,-0.075,0.3213,1.0,reverse
4.75,0.8858,0.01049,0.00171,-0.0756,0.3326,1.0,reverse
4.5,0.8619,0.01023,0.00162,-0.0763,0.3463,1.0,reverse
4.25,0.8386,0.00993,0.00153,-0.0771,0.3621,1.0,reverse
4.0,0.8151,0.00966,0.00144,-0.0779,0.3776,1.0,reverse
3.75,0.7914,0.00941,0.00137,-0.0787,0.3933,1.0,reverse
3.5,0.7681,0.00915,0.0013,-0.0795,0.4124,1.0,reverse
3.25,0.7449,0.0089,0.00124,-0.0804,0.4334,1.0,reverse
3.0,0.7216,0.00868,0.00119,-0.0813,0.4534,1.0,reverse
2.75,0.6982,0.00848,0.00116,-0.0822,0.4723,1.0,reverse
2.5,0.6748,0.0083,0.00113,-0.0831,0.4903,1.0,reverse
2.25,0.6514,0.00812,0.00111,-0.084,0.5085,1.0,reverse
2.0,0.6278,0.00795,0.00109,-0.0849,0.5258,1.0,reverse
1.75,0.5969,0.0078,0.00108,-0.0842,0.5423,0.9953,reverse
1.25,0.5216,0.00755,0.00105,-0.0799,0.5731,0.9683,reverse
1.0,0.4814,0.00744,0.00102,-0.0774,0.5877,0.9282,reverse
0.75,0.4503,0.00745,0.00093,-0.0772,0.6011,0.8355,reverse
0.5,0.4303,0.00781,0.00084,-0.0793,0.6135,0.6806,reverse
0.25,0.408,0.00821,0.0008,-0.0805,0.6262,0.5299,reverse
0.0,0.3833,0.0085,0.00079,-0.081,0.6374,0.4193,reverse
-0.25,0.3572,0.00872,0.00079,-0.0813,0.6481,0.3457,reverse
-0.5,0.3309,0.00883,0.00081,-0.0816,0.6583,0.2989,reverse
-0.75,0.304,0.00897,0.00082,-0.0817,0.6682,0.2559,reverse
-1.0,0.2775,0.00909,0.00084,-0.082,0.6787,0.212,reverse
-1.5,0.2243,0.00943,0.0009,-0.0825,0.7001,0.1253,reverse
-1.75,0.1976,0.00957,0.00097,-0.0827,0.7112,0.1003,reverse
-2.0,0.1707,0.0097,0.00104,-0.0829,0.7227,0.0837,reverse
-2.25,0.1438,0.00982,0.00112,-0.0832,0.733,0.0677,reverse
-2.5,0.1168,0.00998,0.00119,-0.0834,0.7439,0.0533,reverse
-2.75,0.0901,0.01012,0.00131,-0.0837,0.7548,0.0469,reverse
-3.0,0.063,0.01028,0.00143,-0.0839,0.7646,0.0436,reverse
-3.25,0.0359,0.01044,0.00157,-0.0842,0.7742,0.0416,reverse
-3.5,0.0089,0.01061,0.00172,-0.0845,0.7847,0.0401,reverse
-3.75,-0.0177,0.01083,0.0019,-0.0848,0.7962,0.0389,reverse
-4.0,-0.0447,0.01103,0.0021,-0.0851,0.8059,0.0379,reverse
-4.25,-0.0715,0.01125,0.00229,-0.0853,0.8155,0.0368,reverse
-4.5,-0.0984,0.01151,0.0025,-0.0856,0.8237,0.0358,reverse
-4.75,-0.1247,0.01186,0.00275,-0.0858,0.8322,0.035,reverse
-5.0,-0.1515,0.01214,0.00301,-0.0861,0.84,0.0344,reverse
-5.25,-0.1782,0.01246,0.00331,-0.0864,0.8481,0.0337,reverse
-5.5,-0.2045,0.01281,0.00361,-0.0867,0.8567,0.0331,reverse
-5.75,-0.231,0.01319,0.00394,-0.087,0.8641,0.0326,reverse
-6.0,-0.257,0.01361,0.00428,-0.0873,0.8726,0.0321,reverse
