alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
18.0,1.2083,0.13479,0.10879,-0.0527,0.0165,1.0,reverse
17.75,1.2123,0.13005,0.10266,-0.0503,0.0167,1.0,reverse
17.5,1.2186,0.12494,0.09631,-0.0478,0.0169,1.0,reverse
17.25,1.2268,0.11947,0.08975,-0.0451,0.0171,1.0,reverse
17.0,1.2361,0.11385,0.0833,-0.0425,0.0173,1.0,reverse
16.75,1.2462,0.10813,0.07699,-0.0399,0.0175,1.0,reverse
16.5,1.257,0.10237,0.0709,-0.0375,0.0177,1.0,reverse
16.25,1.2679,0.09668,0.06511,-0.0352,0.0179,1.0,reverse
16.0,1.2788,0.09112,0.05963,-0.0331,0.0182,1.0,reverse
15.75,1.2894,0.08574,0.0545,-0.0313,0.0186,1.0,reverse
15.5,1.2991,0.08064,0.04977,-0.0297,0.019,1.0,reverse
15.25,1.3092,0.07561,0.04521,-0.0283,0.0194,1.0,reverse
15.0,1.3197,0.07074,0.04087,-0.0271,0.0198,1.0,reverse
14.75,1.3284,0.06625,0.03697,-0.0262,0.0204,1.0,reverse
14.5,1.3356,0.06216,0.03349,-0.0257,0.0211,1.0,reverse
14.0,1.3481,0.0547,0.02735,-0.0255,0.0227,1.0,reverse
13.75,1.353,0.05136,0.0247,-0.0258,0.024,1.0,reverse
13.5,1.3573,0.0482,0.02225,-0.0263,0.0257,1.0,reverse
13.25,1.3613,0.04519,0.01998,-0.0271,0.0285,1.0,reverse
13.0,1.3653,0.04231,0.01787,-0.0282,0.0346,1.0,reverse
12.75,1.3674,0.03974,0.0161,-0.0294,0.0463,1.0,reverse
12.5,1.3651,0.03764,0.01472,-0.0306,0.0589,1.0,reverse
12.25,1.3601,0.03586,0.01359,-0.0319,0.0699,1.0,reverse
12.0,1.3547,0.03417,0.01252,-0.0333,0.0793,1.0,reverse
11.75,1.3479,0.03265,0.01158,-0.0348,0.0871,1.0,reverse
11.5,1.3397,0.03129,0.01073,-0.0363,0.0941,1.0,reverse
11.25,1.332,0.02994,0.00991,-0.038,0.1011,1.0,reverse
11.0,1.3238,0.02866,0.00915,-0.0398,0.109,1.0,reverse
10.75,1.3146,0.02749,0.00847,-0.0416,0.1172,1.0,reverse
10.5,1.3051,0.02637,0.00783,-0.0435,0.1268,1.0,reverse
10.25,1.2954,0.02529,0.00723,-0.0455,0.1383,1.0,reverse
10.0,1.2857,0.02425,0.00667,-0.0476,0.1517,1.0,reverse
9.75,1.2762,0.02323,0.00618,-0.0499,0.1689,1.0,reverse
9.5,1.266,0.02232,0.00578,-0.0522,0.1906,1.0,reverse
9.25,1.2553,0.02154,0.00551,-0.0546,0.2136,1.0,reverse
9.0,1.2405,0.02094,0.00531,-0.0564,0.2352,1.0,reverse
8.75,1.2234,0.02042,0.00512,-0.0579,0.2525,1.0,reverse
8.5,1.205,0.01993,0.00493,-0.0593,0.2658,1.0,reverse
8.25,1.1848,0.0195,0.00473,-0.0604,0.2772,1.0,reverse
8.0,1.1644,0.01906,0.00455,-0.0615,0.2881,1.0,reverse
7.75,1.1436,0.01862,0.00436,-0.0626,0.2976,1.0,reverse
7.5,1.122,0.01822,0.00417,-0.0635,0.3076,1.0,reverse
7.25,1.1007,0.01778,0.00399,-0.0645,0.3166,1.0,reverse
7.0,1.0784,0.01739,0.0038,-0.0653,0.3264,1.0,reverse
6.75,1.0566,0.01696,0.00363,-0.0663,0.3357,1.0,reverse
6.5,1.034,0.01659,0.00346,-0.0671,0.3463,1.0,reverse
6.25,1.0129,0.01614,0.00332,-0.0681,0.3593,1.0,reverse
6.0,0.9916,0.01572,0.00318,-0.0692,0.3747,1.0,reverse
5.75,0.97,0.01531,0.00306,-0.0702,0.3908,1.0,reverse
5.5,0.9478,0.01493,0.00293,-0.0712,0.4064,1.0,reverse
5.25,0.9253,0.01458,0.00282,-0.0721,0.4224,1.0,reverse
5.0,0.9028,0.01423,0.00272,-0.0731,0.4389,1.0,reverse
4.75,0.8801,0.01391,0.00263,-0.074,0.4562,1.0,reverse
4.5,0.8572,0.0136,0.00256,-0.075,0.4745,1.0,reverse
4.25,0.8342,0.01331,0.0025,-0.0759,0.4931,1.0,reverse
4.0,0.8109,0.01305,0.00245,-0.0768,0.511,1.0,reverse
3.75,0.7874,0.01281,0.00242,-0.0777,0.5293,1.0,reverse
3.5,0.7639,0.01259,0.0024,-0.0786,0.5475,1.0,reverse
