alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.2657,0.01892,0.0075,-0.0874,0.9167,0.0408,forward
-5.75,-0.2361,0.01815,0.00678,-0.0878,0.9115,0.0416,forward
-5.5,-0.2107,0.01749,0.00617,-0.0873,0.9033,0.0425,forward
-5.25,-0.1819,0.01684,0.00564,-0.0875,0.8974,0.0436,forward
-5.0,-0.1546,0.01632,0.00527,-0.0875,0.8906,0.0448,forward
-4.75,-0.1282,0.01583,0.00486,-0.0871,0.8828,0.0462,forward
-4.5,-0.0993,0.01532,0.0044,-0.0872,0.8769,0.0474,forward
-4.25,-0.0738,0.0149,0.00412,-0.0868,0.8686,0.0487,forward
-4.0,-0.0464,0.0145,0.00382,-0.0866,0.8613,0.0504,forward
-3.75,-0.0188,0.01415,0.00353,-0.0865,0.8546,0.0529,forward
-3.5,0.0075,0.01385,0.00333,-0.0862,0.8461,0.056,forward
-3.25,0.0356,0.01352,0.00308,-0.0861,0.8393,0.0599,forward
-3.0,0.0619,0.01325,0.0029,-0.0857,0.8306,0.0656,forward
-2.75,0.0893,0.01296,0.00269,-0.0854,0.8221,0.0762,forward
-2.5,0.1156,0.01267,0.00251,-0.0851,0.812,0.0932,forward
-2.25,0.1427,0.01238,0.00233,-0.0848,0.802,0.1162,forward
-2.0,0.1687,0.0121,0.00222,-0.0844,0.7911,0.148,forward
-1.75,0.1955,0.01182,0.0021,-0.0841,0.7816,0.1946,forward
-1.5,0.221,0.01156,0.00207,-0.0837,0.7702,0.2506,forward
-1.25,0.2472,0.0113,0.00199,-0.0833,0.7596,0.3095,forward
-1.0,0.2723,0.011,0.00193,-0.0827,0.7473,0.3781,forward
-0.75,0.2962,0.01061,0.00191,-0.082,0.7364,0.4821,forward
-0.5,0.3185,0.01014,0.00192,-0.0806,0.7269,0.6203,forward
-0.25,0.3401,0.00977,0.002,-0.0788,0.7177,0.7588,forward
0.0,0.3746,0.00962,0.00208,-0.0792,0.7077,0.8939,forward
0.25,0.4253,0.00964,0.00208,-0.0835,0.6963,0.97,forward
0.5,0.4714,0.00968,0.002,-0.0873,0.685,0.995,forward
0.75,0.5017,0.00974,0.00197,-0.0878,0.6733,1.0,forward
1.0,0.5262,0.00983,0.00193,-0.0871,0.6624,1.0,forward
1.25,0.5506,0.00992,0.00189,-0.0864,0.6504,1.0,forward
1.5,0.5749,0.01002,0.00187,-0.0856,0.6373,1.0,forward
1.75,0.5991,0.01013,0.00184,-0.0848,0.6239,1.0,forward
2.0,0.6231,0.01027,0.00181,-0.0839,0.61,1.0,forward
2.25,0.6473,0.01039,0.00181,-0.0831,0.5954,1.0,forward
2.5,0.6715,0.01054,0.00181,-0.0823,0.5809,1.0,forward
2.75,0.6955,0.0107,0.00181,-0.0815,0.5657,1.0,forward
3.0,0.7193,0.01088,0.00182,-0.0806,0.5492,1.0,forward
3.25,0.7429,0.01108,0.00184,-0.0798,0.5314,1.0,forward
3.5,0.7663,0.0113,0.00186,-0.0789,0.5129,1.0,forward
3.75,0.7897,0.01154,0.0019,-0.078,0.495,1.0,forward
4.0,0.813,0.01179,0.00195,-0.0771,0.4764,1.0,forward
4.25,0.8361,0.01206,0.00201,-0.0762,0.4571,1.0,forward
4.5,0.8589,0.01235,0.00209,-0.0752,0.4383,1.0,forward
4.75,0.8817,0.01267,0.00217,-0.0743,0.4207,1.0,forward
5.25,0.9268,0.01333,0.00238,-0.0725,0.3874,1.0,forward
5.5,0.9491,0.0137,0.00249,-0.0715,0.3715,1.0,forward
5.75,0.9711,0.01408,0.00262,-0.0706,0.3558,1.0,forward
6.0,0.9931,0.01446,0.00275,-0.0696,0.342,1.0,forward
6.25,1.0154,0.01484,0.00289,-0.0687,0.3309,1.0,forward
6.5,1.0387,0.01516,0.00303,-0.068,0.3221,1.0,forward
6.75,1.0612,0.01553,0.00318,-0.0672,0.3133,1.0,forward
7.0,1.0841,0.01587,0.00333,-0.0664,0.3051,1.0,forward
7.25,1.1065,0.01623,0.00348,-0.0656,0.2962,1.0,forward
7.5,1.1288,0.01659,0.00364,-0.0648,0.2876,1.0,forward
7.75,1.1506,0.01696,0.00379,-0.0638,0.2778,1.0,forward
8.0,1.1723,0.01732,0.00394,-0.0629,0.2678,1.0,forward
8.25,1.1923,0.01776,0.00409,-0.0618,0.2551,1.0,forward
8.5,1.2117,0.0182,0.00424,-0.0605,0.2381,1.0,forward
8.75,1.2297,0.01871,0.00441,-0.0592,0.2162,1.0,forward
9.0,1.2439,0.0194,0.00464,-0.0572,0.1906,1.0,forward
9.25,1.2561,0.02019,0.00495,-0.055,0.1669,1.0,forward
9.75,1.2794,0.02196,0.00581,-0.0508,0.1333,1.0,forward
10.0,1.2913,0.02286,0.00628,-0.0488,0.1212,1.0,forward
10.25,1.3029,0.0238,0.00679,-0.0469,0.1104,1.0,forward
10.5,1.3141,0.02478,0.00733,-0.045,0.1017,1.0,forward
10.75,1.3252,0.02579,0.00789,-0.0433,0.0944,1.0,forward
11.0,1.3362,0.02683,0.00848,-0.0416,0.0873,1.0,forward
11.25,1.3467,0.02793,0.00912,-0.04,0.0806,1.0,forward
11.5,1.356,0.02916,0.00983,-0.0383,0.0723,1.0,forward
11.75,1.3644,0.0305,0.0106,-0.0368,0.0627,1.0,forward
12.0,1.3707,0.03204,0.01151,-0.0352,0.0493,1.0,forward
12.25,1.3716,0.03409,0.0128,-0.0334,0.0328,1.0,forward
12.5,1.3692,0.03653,0.01448,-0.0317,0.0246,1.0,forward
12.75,1.3687,0.0389,0.01617,-0.0303,0.0218,1.0,forward
13.0,1.369,0.04128,0.0179,-0.0291,0.0201,1.0,forward
13.25,1.3681,0.04389,0.01985,-0.0282,0.019,1.0,forward
13.5,1.3678,0.04651,0.02184,-0.0274,0.0181,1.0,forward
13.75,1.3656,0.04944,0.02413,-0.0268,0.0173,1.0,forward
14.0,1.3607,0.05277,0.02678,-0.0265,0.0168,1.0,forward
14.25,1.3582,0.05596,0.02934,-0.0264,0.0162,1.0,forward
14.5,1.3541,0.05949,0.03224,-0.0266,0.0158,1.0,forward
14.75,1.3484,0.06334,0.03545,-0.027,0.0155,1.0,forward
15.0,1.3415,0.06752,0.03901,-0.0276,0.0152,1.0,forward
15.25,1.3331,0.07205,0.04296,-0.0286,0.015,1.0,forward
15.5,1.3235,0.07691,0.04726,-0.0299,0.0148,1.0,forward
15.75,1.3127,0.0821,0.05198,-0.0314,0.0146,1.0,forward
16.0,1.3017,0.08744,0.05694,-0.0331,0.0145,1.0,forward
16.25,1.2929,0.09256,0.06178,-0.0349,0.0143,1.0,forward
16.5,1.2839,0.09781,0.0669,-0.0368,0.0141,1.0,forward
16.75,1.2749,0.1031,0.07222,-0.0388,0.014,1.0,forward
17.0,1.2666,0.10836,0.0777,-0.0409,0.0138,1.0,forward
17.25,1.259,0.11354,0.08328,-0.0431,0.0137,1.0,forward
17.5,1.2523,0.11858,0.08894,-0.0453,0.0135,1.0,forward
17.75,1.2466,0.12345,0.09461,-0.0476,0.0134,1.0,forward
18.0,1.242,0.12816,0.10029,-0.0498,0.0132,1.0,forward
