alpha_deg,cl,cd,cdp,cm,xtr_top,xtr_bottom,source
-6.0,-0.2661,0.02028,0.01035,-0.0898,0.945,0.0506,forward
-5.75,-0.2358,0.01902,0.00902,-0.0903,0.9395,0.0512,forward
-5.5,-0.2024,0.01805,0.00784,-0.0913,0.9357,0.0522,forward
-5.25,-0.1684,0.0169,0.00705,-0.0926,0.9326,0.0531,forward
-5.0,-0.1434,0.01623,0.0065,-0.0919,0.9247,0.054,forward
-4.75,-0.114,0.01553,0.00589,-0.092,0.9188,0.0551,forward
-4.5,-0.0828,0.01486,0.00527,-0.0925,0.9144,0.0564,forward
-4.25,-0.0582,0.01433,0.00485,-0.0917,0.9062,0.0579,forward
-4.0,-0.0305,0.01381,0.00451,-0.0915,0.8995,0.0599,forward
-3.75,-0.0019,0.01334,0.00408,-0.0914,0.8938,0.0621,forward
-3.5,0.0224,0.0129,0.0038,-0.0905,0.8844,0.0643,forward
-3.25,0.0503,0.01248,0.00344,-0.0902,0.8772,0.0678,forward
-3.0,0.0753,0.01213,0.00321,-0.0894,0.8671,0.0726,forward
-2.75,0.1025,0.01174,0.00291,-0.089,0.8591,0.0812,forward
-2.5,0.1276,0.01125,0.00263,-0.0884,0.8498,0.1033,forward
-2.25,0.1533,0.01072,0.0024,-0.0879,0.8411,0.1582,forward
-2.0,0.1787,0.01034,0.00232,-0.0874,0.8315,0.23,forward
-1.75,0.2049,0.01003,0.00222,-0.087,0.8221,0.2939,forward
-1.5,0.2303,0.00974,0.00214,-0.0864,0.8118,0.3543,forward
-1.25,0.2551,0.00932,0.00206,-0.0858,0.8026,0.4527,forward
-1.0,0.2764,0.00875,0.00208,-0.0844,0.7932,0.6135,forward
-0.75,0.2957,0.00821,0.00215,-0.0819,0.7844,0.7914,forward
-0.5,0.3294,0.00808,0.00226,-0.082,0.7754,0.9201,forward
-0.25,0.3791,0.00811,0.00225,-0.0861,0.7661,0.9724,forward
0.0,0.435,0.00812,0.00219,-0.0919,0.757,0.9954,forward
0.25,0.4686,0.00814,0.00212,-0.0931,0.7469,1.0,forward
0.5,0.4935,0.00819,0.00207,-0.0924,0.7366,1.0,forward
0.75,0.5186,0.00824,0.00199,-0.0918,0.726,1.0,forward
1.0,0.5431,0.0083,0.00196,-0.0911,0.7142,1.0,forward
1.25,0.5681,0.00838,0.0019,-0.0904,0.7035,1.0,forward
1.5,0.5926,0.00844,0.00188,-0.0896,0.6915,1.0,forward
1.75,0.6174,0.00853,0.00186,-0.0889,0.6799,1.0,forward
2.0,0.6421,0.00863,0.00181,-0.0882,0.6681,1.0,forward
2.25,0.6663,0.00872,0.00181,-0.0873,0.6547,1.0,forward
2.5,0.6905,0.00883,0.0018,-0.0865,0.6409,1.0,forward
2.75,0.7146,0.00895,0.00177,-0.0856,0.6264,1.0,forward
3.0,0.7385,0.00909,0.00175,-0.0847,0.6109,1.0,forward
3.25,0.7623,0.00923,0.00176,-0.0838,0.5943,1.0,forward
3.5,0.7859,0.00939,0.00177,-0.0829,0.5763,1.0,forward
3.75,0.8091,0.00959,0.00177,-0.0819,0.5564,1.0,forward
4.0,0.8319,0.00983,0.00179,-0.0808,0.535,1.0,forward
4.25,0.8546,0.01007,0.00184,-0.0798,0.5115,1.0,forward
4.5,0.8768,0.01036,0.00189,-0.0787,0.4862,1.0,forward
4.75,0.8985,0.0107,0.00196,-0.0775,0.461,1.0,forward
5.0,0.9205,0.01104,0.00204,-0.0764,0.4375,1.0,forward
5.25,0.9428,0.01138,0.00214,-0.0754,0.4165,1.0,forward
5.5,0.9652,0.01173,0.00224,-0.0745,0.399,1.0,forward
6.0,1.0117,0.01239,0.0025,-0.0729,0.3734,1.0,forward
6.25,1.0348,0.01275,0.00264,-0.0721,0.3634,1.0,forward
6.5,1.0586,0.01306,0.00278,-0.0715,0.3535,1.0,forward
6.75,1.0816,0.01343,0.00293,-0.0707,0.3447,1.0,forward
7.0,1.1053,0.01372,0.00307,-0.07,0.3355,1.0,forward
7.25,1.1279,0.01411,0.00323,-0.0692,0.3269,1.0,forward
7.5,1.1512,0.01439,0.00336,-0.0685,0.3169,1.0,forward
7.75,1.1731,0.01475,0.00348,-0.0676,0.3061,1.0,forward
8.0,1.1943,0.01511,0.00359,-0.0666,0.2937,1.0,forward
8.25,1.2164,0.01539,0.00369,-0.0657,0.2809,1.0,forward
8.5,1.2374,0.01574,0.00379,-0.0647,0.2675,1.0,forward
8.75,1.2575,0.01611,0.00389,-0.0635,0.2511,1.0,forward
9.0,1.2766,0.01654,0.004,-0.0622,0.2309,1.0,forward
9.25,1.2925,0.01714,0.00417,-0.0605,0.2055,1.0,forward
9.5,1.3046,0.01791,0.00444,-0.0582,0.1777,1.0,forward
9.75,1.3156,0.01879,0.00484,-0.0558,0.1556,1.0,forward
10.0,1.3269,0.01969,0.00527,-0.0536,0.1392,1.0,forward
10.25,1.3386,0.02059,0.00572,-0.0515,0.1266,1.0,forward
10.5,1.3505,0.02149,0.00618,-0.0495,0.1156,1.0,forward
10.75,1.3628,0.02237,0.00663,-0.0477,0.1067,1.0,forward
11.0,1.3746,0.02331,0.0071,-0.0459,0.0978,1.0,forward
11.25,1.3856,0.02433,0.0076,-0.0442,0.0881,1.0,forward
11.5,1.3954,0.02547,0.00813,-0.0424,0.0759,1.0,forward
11.75,1.4025,0.02686,0.00877,-0.0405,0.058,1.0,forward
12.0,1.4025,0.02884,0.00986,-0.0381,0.036,1.0,forward
12.25,1.4018,0.03095,0.01119,-0.0359,0.0283,1.0,forward
12.5,1.4035,0.03298,0.0125,-0.0341,0.0256,1.0,forward
12.75,1.4051,0.03509,0.01393,-0.0326,0.024,1.0,forward
13.0,1.4064,0.03732,0.01548,-0.0312,0.0228,1.0,forward
13.25,1.4039,0.03999,0.01741,-0.03,0.022,1.0,forward
13.5,1.4027,0.04266,0.01936,-0.0291,0.0214,1.0,forward
13.75,1.4006,0.04552,0.0215,-0.0283,0.0208,1.0,forward
14.0,1.3964,0.0487,0.02395,-0.0278,0.0202,1.0,forward
14.25,1.39,0.05228,0.02678,-0.0276,0.0198,1.0,forward
14.5,1.3806,0.05635,0.03006,-0.0276,0.0194,1.0,forward
14.75,1.3722,0.06048,0.03342,-0.0279,0.0191,1.0,forward
15.0,1.3674,0.06428,0.03654,-0.0283,0.0187,1.0,forward
15.25,1.3615,0.06833,0.03991,-0.0288,0.0183,1.0,forward
15.5,1.3549,0.07255,0.04349,-0.0296,0.018,1.0,forward
15.75,1.3481,0.07683,0.04715,-0.0304,0.0177,1.0,forward
16.0,1.3417,0.08109,0.05082,-0.0312,0.0174,1.0,forward
16.25,1.3362,0.08517,0.05433,-0.032,0.0172,1.0,forward
16.5,1.3323,0.08882,0.05739,-0.0324,0.0169,1.0,forward
16.75,1.3313,0.09207,0.06009,-0.0326,0.0167,1.0,forward
17.0,1.3303,0.09565,0.06332,-0.0334,0.0165,1.0,forward
17.25,1.3301,0.09905,0.0664,-0.0341,0.0163,1.0,forward
17.5,1.3305,0.10234,0.06944,-0.0348,0.0161,1.0,forward
17.75,1.332,0.10542,0.07231,-0.0354,0.0158,1.0,forward
18.0,1.3341,0.10837,0.07513,-0.0359,0.0156,1.0,forward
