case,mass_g,total_design_lift_n,per_panel_lift_n,root_shear_n,root_bending_moment_nm,spar_root_stress_mpa,spar_tip_deflection_E70_mm,spar_tip_deflection_E110_mm,joiner_stress_mpa,boom_y230_shear_n,boom_y230_moment_nm,dbox_twist_100kmh_deg_G300,dbox_twist_120kmh_deg_G300
2400g_reference,2400.0,94.14384,47.07192,47.07114131622687,15.981744298832352,128.90508764328828,38.36278654660364,24.41268234783869,107.03621972940098,30.080575801272808,7.123179081650962,1.9951421103206959,2.8139797649352256
2600g_sensitivity,2600.0,101.98916,50.99458,50.99373642591247,17.313556323735057,139.64717828022907,41.559685425487324,26.447072543491874,115.95590470685111,32.58729045137886,7.7167773384552065,2.0063210637158804,2.82515871833041
